id,city_name_en,city_name_cn,keywords,lat,lon,timezone_id
3040051,les Escaldes,萊塞斯卡爾德－恩戈爾達,萊塞斯卡爾德－恩戈爾達 laisaisikaerde－engeerda les escaldes,42.50729,1.53414,Europe/Andorra
3041563,Andorra la Vella,安道爾城,andaoercheng andorra la vella 安道爾城,42.50779,1.52109,Europe/Andorra
290503,Warisan,,warisan warīsān,25.16744,55.40708,Asia/Dubai
290581,Umm Suqaym,,umm suqaym,25.15491,55.21015,Asia/Dubai
290594,Umm Al Quwain City,,umm al quwain city,25.56473,55.55517,Asia/Dubai
290680,Tarif Kalba,,ţarīf kalbā tarif kalba,25.0695,56.33115,Asia/Dubai
291061,Ar Rashidiyah,,ar rāshidīyah ar rashidiyah,25.22499,55.38947,Asia/Dubai
291074,Ras Al Khaimah,,ras al khaimah,25.78953,55.9432,Asia/Dubai
291580,Zayed City,,zayed city,23.65416,53.70522,Asia/Dubai
291696,Khawr Fakkan,,khawr fakkan khawr fakkān,25.33132,56.34199,Asia/Dubai
291763,Kalba,,kalbā kalba,25.0513,56.35422,Asia/Dubai
291775,Jumayra,,jumayrā jumayra,25.20795,55.24969,Asia/Dubai
292223,Dubai,杜拜,dubai 杜拜 迪拜,25.07725,55.30927,Asia/Dubai
292231,Dibba Al-Fujairah,,dibba al-fujairah,25.59246,56.26176,Asia/Dubai
292239,Dibba Al-Hisn,,dibba al-hisn,25.61955,56.27291,Asia/Dubai
292261,Dayrah,,dayrah,25.27143,55.30207,Asia/Dubai
292672,Sharjah,夏尔迦,sharjah 夏尔迦 xiaerjia,25.3342,55.41221,Asia/Dubai
292688,Ar Ruways,鲁瓦斯,ar ruways 鲁瓦斯 luwasi,24.11028,52.73056,Asia/Dubai
292862,Hatta,,hatta ḩattā,24.80073,56.12726,Asia/Dubai
292878,Fujairah,富吉拉,富吉拉 fujila fujairah,25.11641,56.34141,Asia/Dubai
292913,Al Ain City,艾因,al ain city aiyin 艾因,24.19167,55.76056,Asia/Dubai
292932,Ajman,,ajman,25.40177,55.47878,Asia/Dubai
292953,Adh Dhayd,達伊德,adh dhayd dayide 達伊德,25.28812,55.88157,Asia/Dubai
292968,Abu Dhabi,阿布扎比,abuzhabi abu dhabi 阿布扎比,24.45118,54.39696,Asia/Dubai
292991,Abu Hayl,,abū hayl abu hayl,25.28413,55.33153,Asia/Dubai
385024,As Satwah,,as satwah as saţwah,25.22192,55.27459,Asia/Dubai
414901,Al Hamidiyah,,al hamidiyah al ḩamīdīyah,25.40001,55.52925,Asia/Dubai
6691079,Al Waheda,,al waheda,25.29173,55.33822,Asia/Dubai
6691091,Al Karama,,al karama,25.24004,55.30106,Asia/Dubai
6691113,The Palm Jumeirah,,the palm jumeirah,25.11607,55.13506,Asia/Dubai
7289825,Bur Dubai,,bur dubai,25.26038,55.29891,Asia/Dubai
8057551,Khalifah A City,,khalifah a city,24.42588,54.605,Asia/Dubai
8200824,Mirdif,,mirdif,25.22443,55.41412,Asia/Dubai
8201275,Hawr al 'Anz,,hawr al ‘anz hawr al 'anz,25.27744,55.33675,Asia/Dubai
